codigo,nombre_cuenta,imputable,is_group,nivel,codigo_padre,root_type
1,ACTIVO,N,1,1,,Asset
1.1,Activo Corriente,N,1,2,1,Asset
1.1.01,Efectivo y equivalentes de efectivo,N,1,3,1.1,Asset
1.1.01.01,Caja,N,1,4,1.1.01,Asset
1.1.01.01.01,Efectivo en caja en el país,N,1,5,1.1.01.01,Asset
1.1.01.01.01.01,Efectivo en caja general en el país,S,0,6,1.1.01.01.01,Asset
1.1.01.01.01.02,Efectivo en caja chica en el país,S,0,6,1.1.01.01.01,Asset
1.1.01.01.02,Efectivo en caja en el exterior,N,1,5,1.1.01.01,Asset
1.1.01.01.02.01,Efectivo en caja general en el exterior,S,0,6,1.1.01.01.02,Asset
1.1.01.01.02.02,Efectivo en caja chica en el exterior,S,0,6,1.1.01.01.02,Asset
1.1.01.02,Efectivo en bancos,N,1,4,1.1.01,Asset
1.1.01.02.01,Cuenta Única de Tesorería (CUT),N,1,5,1.1.01.02,Asset
1.1.01.02.01.01,BanReservas cuenta República Dominicana RD$,N,1,6,1.1.01.02.01,Asset
1.1.01.02.01.01.01,BanReservas cuenta única en RD$ - Subcuenta de Disponibilidad,S,0,7,1.1.01.02.01.01,Asset
1.1.01.02.01.01.02,BanReservas cuenta única en RD$ - Subcuenta de Cuota,S,0,7,1.1.01.02.01.01,Asset
1.1.01.02.01.01.03,BanReservas cuenta única en RD$ - Subcuenta de Transferencia,S,0,7,1.1.01.02.01.01,Asset
1.1.01.02.01.02,BanReservas cuenta República Dominicana USD,N,1,6,1.1.01.02.01,Asset
1.1.01.02.01.02.01,BanReservas cuenta única en USD - Subcuenta de Disponibilidad,S,0,7,1.1.01.02.01.02,Asset
1.1.01.02.01.02.02,BanReservas cuenta única en USD - Subcuenta de Cuota,S,0,7,1.1.01.02.01.02,Asset
1.1.01.02.01.02.03,BanReservas cuenta única en USD - Subcuenta de Transferencia,S,0,7,1.1.01.02.01.02,Asset
1.1.01.02.01.03,BanReservas Cuenta República Dominicana Euros,N,1,6,1.1.01.02.01,Asset
1.1.01.02.01.03.01,BanReservas cuenta única en Euros - Subcuenta de Disponibilidad,S,0,7,1.1.01.02.01.03,Asset
1.1.01.02.01.03.02,BanReservas cuenta única en Euros - Subcuenta de Cuota,S,0,7,1.1.01.02.01.03,Asset
1.1.01.02.01.03.03,BanReservas cuenta única en Euros - Subcuenta de Transferencia,S,0,7,1.1.01.02.01.03,Asset
1.1.01.02.01.04,Banco Central Cuenta República Dominicana RD$,N,1,6,1.1.01.02.01,Asset
1.1.01.02.01.04.01,Banco Central cuenta única en RD$ - Subcuenta de Disponibilidad,S,0,7,1.1.01.02.01.04,Asset
1.1.01.02.01.04.02,Banco Central cuenta única en RD$ - Subcuenta de Cuota,S,0,7,1.1.01.02.01.04,Asset
1.1.01.02.01.04.03,Banco Central cuenta única en RD$ - Subcuenta de Transferencia,S,0,7,1.1.01.02.01.04,Asset
1.1.01.02.01.05,Banco Central Cuenta República Dominicana USD,N,1,6,1.1.01.02.01,Asset
1.1.01.02.01.05.01,Banco Central cuenta única en USD - Subcuenta de Disponibilidad,S,0,7,1.1.01.02.01.05,Asset
1.1.01.02.01.05.02,Banco Central cuenta única en USD - Subcuenta de Cuota,S,0,7,1.1.01.02.01.05,Asset
1.1.01.02.01.05.03,Banco Central cuenta única en USD - Subcuenta de Transferencia,S,0,7,1.1.01.02.01.05,Asset
1.1.01.02.01.06,Banco Central Cuenta República Dominicana Euros,N,1,6,1.1.01.02.01,Asset
1.1.01.02.01.06.01,Banco Central cuenta única en Euros - Subcuenta de Disponibilidad,S,0,7,1.1.01.02.01.06,Asset
1.1.01.02.01.06.02,Banco Central cuenta única en Euros - Subcuenta de Cuota,S,0,7,1.1.01.02.01.06,Asset
1.1.01.02.01.06.03,Banco Central cuenta única en Euros - Subcuenta de Transferencia,S,0,7,1.1.01.02.01.06,Asset
1.1.01.02.01.07,Banco Central Cuenta República Dominicana DEG,N,1,6,1.1.01.02.01,Asset
1.1.01.02.01.07.01,Banco Central cuenta única en DEG - Subcuenta de Disponibilidad,S,0,7,1.1.01.02.01.07,Asset
1.1.01.02.01.07.02,Banco Central cuenta única en DEG - Subcuenta de Cuota,S,0,7,1.1.01.02.01.07,Asset
1.1.01.02.01.07.03,Banco Central cuenta única en DEG - Subcuenta de Transferencia,S,0,7,1.1.01.02.01.07,Asset
1.1.01.02.02,Cuentas en Moneda Nacional,N,1,5,1.1.01.02,Asset
1.1.01.02.02.01,Transferencias en Procesos,S,0,6,1.1.01.02.02,Asset
1.1.01.02.02.02,Cuenta Desembolso,S,0,6,1.1.01.02.02,Asset
1.1.01.02.02.03,BanReservas cuentas Colectoras en RD$,N,1,6,1.1.01.02.02,Asset
1.1.01.02.02.03.01,BanReservas cuenta Colectora en Pesos - Colector de Impuestos Internos,S,0,7,1.1.01.02.02.03,Asset
